year,unitid,instnm,lstudy,gender,n_enrl
2019,163286,University of Maryland-College Park,All students,Women,19681
2019,163286,University of Maryland-College Park,Undergraduate,Total,30511
2019,163286,University of Maryland-College Park,Undergraduate,Men,15857
2019,163286,University of Maryland-College Park,Undergraduate,Women,14654
2019,163286,University of Maryland-College Park,Graduate,Total,10232
2019,163286,University of Maryland-College Park,Graduate,Men,5205
2019,163286,University of Maryland-College Park,Graduate,Women,5027
2020,163286,University of Maryland-College Park,All students,Total,40709
2020,163286,University of Maryland-College Park,All students,Men,20991
2020,163286,University of Maryland-College Park,All students,Women,19718
2020,163286,University of Maryland-College Park,Undergraduate,Total,30875
2020,163286,University of Maryland-College Park,Undergraduate,Men,16047
2020,163286,University of Maryland-College Park,Undergraduate,Women,14828
2020,163286,University of Maryland-College Park,Graduate,Total,9834
2020,163286,University of Maryland-College Park,Graduate,Men,4944
2020,163286,University of Maryland-College Park,Graduate,Women,4890
2017,171100,Michigan State University,All students,Total,50019
2017,171100,Michigan State University,All students,Men,24193
2017,171100,Michigan State University,All students,Women,25826
2017,171100,Michigan State University,Undergraduate,Total,38996
2017,171100,Michigan State University,Undergraduate,Men,19292
2017,171100,Michigan State University,Undergraduate,Women,19704
2017,171100,Michigan State University,Graduate,Total,11023
2017,171100,Michigan State University,Graduate,Men,4901
2017,171100,Michigan State University,Graduate,Women,6122
2018,171100,Michigan State University,All students,Total,50351
2018,171100,Michigan State University,All students,Men,24237
2018,171100,Michigan State University,All students,Women,26114
2018,171100,Michigan State University,Undergraduate,Total,39423
2018,171100,Michigan State University,Undergraduate,Men,19438
2018,171100,Michigan State University,Undergraduate,Women,19985
2018,171100,Michigan State University,Graduate,Total,10928
2018,171100,Michigan State University,Graduate,Men,4799
2018,171100,Michigan State University,Graduate,Women,6129
2019,171100,Michigan State University,All students,Total,49809
2019,171100,Michigan State University,All students,Men,23927
2019,171100,Michigan State University,All students,Women,25882
2019,171100,Michigan State University,Undergraduate,Total,39176
2019,171100,Michigan State University,Undergraduate,Men,19352
2019,171100,Michigan State University,Undergraduate,Women,19824
2019,171100,Michigan State University,Graduate,Total,10633
2019,171100,Michigan State University,Graduate,Men,4575
2019,171100,Michigan State University,Graduate,Women,6058
2020,171100,Michigan State University,All students,Total,49695
2020,171100,Michigan State University,All students,Men,23550
2020,171100,Michigan State University,All students,Women,26145
2020,171100,Michigan State University,Undergraduate,Total,38491
2020,171100,Michigan State University,Undergraduate,Men,18731
2020,171100,Michigan State University,Undergraduate,Women,19760
2020,171100,Michigan State University,Graduate,Total,11204
2020,171100,Michigan State University,Graduate,Men,4819
2020,171100,Michigan State University,Graduate,Women,6385
2017,174066,University of Minnesota-Twin Cities,All students,Total,51848
2017,174066,University of Minnesota-Twin Cities,All students,Men,24308
2017,174066,University of Minnesota-Twin Cities,All students,Women,27540
2017,174066,University of Minnesota-Twin Cities,Undergraduate,Total,35433
2017,174066,University of Minnesota-Twin Cities,Undergraduate,Men,16814
2017,174066,University of Minnesota-Twin Cities,Undergraduate,Women,18619
2017,174066,University of Minnesota-Twin Cities,Graduate,Total,16415
2017,174066,University of Minnesota-Twin Cities,Graduate,Men,7494
2017,174066,University of Minnesota-Twin Cities,Graduate,Women,8921
2018,174066,University of Minnesota-Twin Cities,All students,Total,50943
2018,174066,University of Minnesota-Twin Cities,All students,Men,23563
2018,174066,University of Minnesota-Twin Cities,All students,Women,27380
2018,174066,University of Minnesota-Twin Cities,Undergraduate,Total,34633
2018,174066,University of Minnesota-Twin Cities,Undergraduate,Men,16196
2018,174066,University of Minnesota-Twin Cities,Undergraduate,Women,18437
2018,174066,University of Minnesota-Twin Cities,Graduate,Total,16310
2018,174066,University of Minnesota-Twin Cities,Graduate,Men,7367
2018,174066,University of Minnesota-Twin Cities,Graduate,Women,8943
2019,174066,University of Minnesota-Twin Cities,All students,Total,51327
2019,174066,University of Minnesota-Twin Cities,All students,Men,23550
2019,174066,University of Minnesota-Twin Cities,All students,Women,27777
2019,174066,University of Minnesota-Twin Cities,Undergraduate,Total,35165
2019,174066,University of Minnesota-Twin Cities,Undergraduate,Men,16304
2019,174066,University of Minnesota-Twin Cities,Undergraduate,Women,18861
2019,174066,University of Minnesota-Twin Cities,Graduate,Total,16162
